Year,Rank,Country,Happiness Score,Economy (GDP),Freedom,Trust (Government),Health
2015,1,Switzerland,7.587,1.39651,0.66557,0.41978,0.94143
2015,2,Iceland,7.561,1.30232,0.62877,0.14145,0.94784
2015,3,Denmark,7.527,1.32548,0.64938,0.48357,0.87464
2015,4,Norway,7.522,1.459,0.66973,0.36503,0.88521
2015,5,Canada,7.427,1.32629,0.63297,0.32957,0.90563
2015,6,Finland,7.406,1.29025,0.64169,0.41372,0.88911
2015,7,Netherlands,7.378,1.32944,0.61576,0.31814,0.89284
2015,8,Sweden,7.364,1.33171,0.6598,0.43844,0.91087
2015,9,New Zealand,7.286,1.25018,0.63938,0.42922,0.90837
2015,10,Australia,7.284,1.33358,0.65124,0.35637,0.93156
2015,11,Israel,7.278,1.22857,0.41319,0.07785,0.91387
2015,12,Costa Rica,7.226,0.95578,0.63376,0.10583,0.86027
2015,13,Austria,7.2,1.33723,0.62433,0.18676,0.89042
2015,14,Mexico,7.187,1.02054,0.48181,0.21312,0.81444
2015,15,United States,7.119,1.39451,0.54604,0.1589,0.86179
2015,16,Brazil,6.983,0.98124,0.49049,0.17521,0.69702
2015,17,Luxembourg,6.946,1.56391,0.61583,0.37798,0.91894
2015,18,Ireland,6.94,1.33596,0.61777,0.28703,0.89533
2015,19,Belgium,6.937,1.30782,0.5845,0.2254,0.89667
2015,20,United Arab Emirates,6.901,1.42727,0.64157,0.38583,0.80925
2015,21,United Kingdom,6.867,1.26637,0.59625,0.32067,0.90943
2015,22,Oman,6.853,1.36011,0.63274,0.32524,0.76276
2015,23,Venezuela,6.81,1.04424,0.42908,0.11069,0.72052
2015,24,Singapore,6.798,1.52186,0.54252,0.4921,1.02525
2015,25,Panama,6.786,1.06353,0.5421,0.0927,0.79661
2015,26,Germany,6.75,1.32792,0.61477,0.21843,0.89186
2015,27,Chile,6.67,1.10715,0.44132,0.12869,0.85857
2015,28,Qatar,6.611,1.69042,0.6404,0.52208,0.79733
2015,29,France,6.575,1.27778,0.55011,0.20646,0.94579
2015,30,Argentina,6.574,1.05351,0.44974,0.08484,0.78723
2015,31,Czech Republic,6.505,1.17898,0.46364,0.02652,0.84483
2015,32,Uruguay,6.485,1.06166,0.60362,0.24558,0.8116
2015,33,Colombia,6.477,0.91861,0.53466,0.0512,0.69077
2015,34,Thailand,6.455,0.9669,0.55664,0.03187,0.7385
2015,35,Saudi Arabia,6.411,1.39541,0.31048,0.32524,0.72025
2015,36,Spain,6.329,1.23011,0.45951,0.06398,0.95562
2015,37,Malta,6.302,1.2074,0.60365,0.13586,0.88721
2015,38,Taiwan,6.298,1.29098,0.3974,0.08129,0.8753
2015,39,Kuwait,6.295,1.55422,0.55499,0.25609,0.72492
2015,40,Suriname,6.269,0.99534,0.59657,0.13633,0.6082
2015,41,Trinidad and Tobago,6.168,1.21183,0.55884,0.0114,0.61483
2015,42,El Salvador,6.13,0.76454,0.4035,0.11776,0.67737
2015,43,Guatemala,6.123,0.74553,0.57733,0.09472,0.64425
2015,44,Uzbekistan,6.003,0.63244,0.65821,0.30826,0.59772
